word,meaning,translation,root,type,process meaning,normalized form
lompós,ninth day after burial; to observe lumpós (man -),ninth day after burial,lompós,-,-,lompos
lunák,scald,scald,lunák,-,-,lunak
lunário,almanac,almanac,lunário,-,-,lunario
lúnEs,Monday,Monday,lúnEs,-,-,lunes
lonlón,"to stuff one’s mouth with food; gluttony, voracity",gluttony,lonlón,-,-,lonlon
lonós,pensive,pensive,lonós,-,-,lonos
loñgón,coffin,coffin,loñgón,-,-,longon
loób,"inside; come inside, enter (on -); to rob inside a house (ni-)",inside,loób,-,-,loob
manpaloób,inward,inward,loób,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",manpaloob
loók,"estuary, lake",estuary,loók,-,-,look
lóor,"to abuse; (of an illness) become worse, deteriorate (on -)",to abuse,lóor,-,-,loor
lúpa,"countenance, face, facade",countenance,lúpa,-,-,lupa
lúpad,"to walk clumsily, tending to stumble or trip up",to walk clums,lúpad,-,-,lupad
lópak,"break off, break up",break off,lópak,-,-,lopak
lópda,saliva; to spit (on -),saliva;,lóp,suffix,3pl genitive enclitic,lopda
loplóp,"to suck eggs, etc.",to suck eggs,loplóp,-,-,loplop
lopók,"weak, not sturdy, worn out",weak,lopók,-,-,lopok
lópot,"cloth, rag",cloth,lópot,-,-,lopot
lorém,cloud; become cloudy (on -),cloud,lorém,-,-,lorem
malorém,cloudy,cloudy,lorém,prefix,causative / stative,malorem
losék,"post, pillar",pillar,losék,-,-,losek
loslós,lower something or let something slip off,lower something,loslós,-,-,loslos
little,by little; allow a boat to drift with the current; lower oneself with the aid of a pole,slowly drift,little,-,-,little
lósob,to prick the foot on a thorn or spine,to prick the foot,lósob,-,-,losob
losók,"stomach, abdomenPANGASINAN DICTIONARY 70",stomach,losók,-,-,losok
losór,"cup, mug",cup,losór,-,-,losor
lótang,"dislocate, come out of place",dislocate,lótang,-,-,lotang
lotó,to cook (man -); to ripen (on -),to cook,lotó,-,-,loto
nilutó,cooked rice and/or other food,cooked rice,nilutó,-,-,niluto
lúyag,province,province,lúyag,-,-,luyag
mabólo,tree with umbrella-like growth and large fragrant reddish purple fruit the shape of a small pumpkin,mabolo tree,bólo,prefix,causative / stative,mabolo
mádrE,nun,nun,mádrE,-,-,madre
madríno,"woman who is a sponsor at a baptism, wedding, etc. (term of reference only)",female wedding sponsor,dríno,prefix,causative / stative,madrino
maÉstro,teacher (m) (term of address or reference),male teacher,Éstro,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maestro
maÉstra,teacher (f.),female teacher,Éstra,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maestra
magá,"to dry, wither (on -)",to dry,gá,prefix,causative / stative,maga
magámagá,dryness,dryness,gámagá,prefix,causative / stative,magamaga
amagá,dry,dry,agá,nasal_prefix,"actor focus (nasal-assimilating, completed)",amaga
magistrádo,"magistrate, judge",judge,gistrádo,prefix,causative / stative,magistrado
maís,"corn, maize",corn,ís,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",mais
mákina,sewing machine; machine,machine,máka,infix,completed aspect marker,makina
makinílya,typewriter,typewriter,kílya,prefix,causative / stative,makinilya
makmák,covering of leaves on a seed bed,covering of leaves on,kmák,prefix,causative / stative,makmak
mákpel,brave,brave,mákpel,-,-,makpel
malága,a variety of pompano,pompano,lága,prefix,causative / stative,malaga
malapáti,pigeon,pigeon,lapáti,prefix,causative / stative,malapati
malasádo,to half cook; soft boil,to half cook,lasádo,prefix,causative / stative,malasado
máli,superstition,superstition,máli,-,-,mali
malígno,evil spirit,evil spirit,lígno,prefix,causative / stative,maligno
máliw,become; change from one state or form to another (man -),become,máliw,-,-,maliw
máma,term of address for man of parents’ generation,mom,máma,-,-,mama
mámbo,mambo (dance),mambo,mámbo,-,-,mambo
man,"that far away, distant from speaker and hearer",that far away,man,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",man
onmán,like that,like that,mán,nasal_prefix,actor focus (nasal-assimilating variant),onman
manáya,"so it is, indeed",so it is,áya,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",manaya
maní,peanuts,peanuts,í,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",mani
manók,"bird, fowl, chicken",bird,ók,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",manok
mantíka,"cooking oil, fat, grease, lard",cooking oil,tíka,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",mantika
mantikílya,butter,butter,tikílya,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",mantikilya
mañgga,mango,mango,ñgga,prefix,causative / stative,mangga
mañgmáñg,"ignorant, illiterate, uneducated",ignorant,ñgmáñg,prefix,causative / stative,mangmang
maóñg,good; something good,good,óñg,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maong
marikít,"maiden, girl of marriageable age",maiden,rikít,prefix,causative / stative,marikit
maruñggay,a leguminous tree whose leaves and fruit are,a leguminous,ruñggay,prefix,causative / stative,marunggay
eaten,as green vegetables,as green vegetables,eat,suffix,patient focus (non-completed),eaten
márso,March,March,márso,-,-,marso
martÉs,Tuesday,Tuesday,rtÉs,prefix,causative / stative,martes
mása,to mold,to mold,mása,-,-,masa
macÉtas,plant,plant,cÉtas,prefix,causative / stative,macetas
masitÉra,flower pot,flower pot,sitÉra,prefix,causative / stative,masitera
máskin,"needed, important",needed,másk,suffix,patient/theme focus (completed),maskin
masyádo,too much,too much,syádo,prefix,causative / stative,masyado
matá,eye,eye,tá,prefix,causative / stative,mata
may,topic marking particle (non-personal) (also imáy ),that,y,prefix,causative / stative,may
rámay,plural of may (also irámay ),those,rámay,-,-,ramay
1mayá,"wait, keep watch for a while ",wait,1mayá,-,-,1maya
2mayá,(of women) to go out together,to go out together,2mayá,-,-,2maya
mayámayá,shower of rain,shower of rain,yámayá,prefix,causative / stative,mayamaya
mayonísa,"mayonnaise, salad dressing",mayonnaise,yonísa,prefix,causative / stative,mayonisa
mÉdias,"stockings, socks",stockings,mÉdias,-,-,medias
mekmék,"to pound into pieces, pulverize",pulverize,mekmék,-,-,mekmek
melág,"little, small",little,melág,-,-,melag
kamelág,smallness,smallness,kamelág,-,-,kamelag
mElokotón,apricot,apricot,mElokotón,-,-,melokoton
menéñg,to be without anything to talk about,to be without anything to talk about,menéñg,-,-,meneng
mEnúdo,"meat or fish dish with tomato, onions, chick peas, green peas, potatoes and raisins, cooked in tomato sauce",menudo,mEnúdo,-,-,menudo
merémeré,to murmur,to murmur,meré,reduplication,partial reduplication (plural nouns),meremere
mEriÉnda,"between meal snack, afternoon tea, ‘light’",light snack,mEriÉn,suffix,3pl genitive enclitic,merienda
meal,offered guests,offered guests,meal,-,-,meal
mesmés,to squeeze between the hands or arms,to squeeze,mesmés,-,-,mesmes
met,also,also,met,-,-,met
mi,"our (excluding addressee), by us, us (excl)",our,mi,-,-,mi
sikamí,"we, us (excl) (independent pronoun)",we,sikamí,-,-,sikami
miÉrcolEs,Wednesday,Wednesday,ÉrcolEs,prefix,reciprocal/distributive,miercoles
mikmík,"crumb, morsel",crumb,kmík,prefix,reciprocal/distributive,mikmik
míkñgit,grunt,grunt,míkñgit,-,-,mikngit
mikroponó,microphone,microphone,kroponó,prefix,reciprocal/distributive,mikropono
milyón,million,million,lyón,prefix,reciprocal/distributive,milyon
minístro,minister,minister,nístro,prefix,reciprocal/distributive,ministro
minodÉnsia,"innards of animal (including heart, liver, etc.)",innards of animal,nodÉnsia,prefix,reciprocal/distributive,minodensia
minóto,minute (time) (pl. minótos ),minute,nó,prefix,reciprocal/distributive,minoto
mínsan,once only (cf. pínsan ),once only,míns,suffix,locative/referent focus (non-completed),minsan
mínto,"confirm, verify",confirm,mín,suffix,3sg genitive enclitic,minto
mísa,mass; to attend mass (mi -),mass,mísa,-,-,misa
mísa de,mass said at the pre-dawn cock crow,mass said at the pre-dawn cock crow,mísa de,-,-,misa de
gallomass,(4. a.m.) on the nine days preceding Christmas,nine days before christmas,gallomass,-,-,gallomass
mísis,wife (not used in formal speech; (occasionally) term of address for married woman unknown to speaker,wife,mísis,-,-,misis
mísmis,to break up poorly made pots or jars,too break pots,mísmis,-,-,mismis
mítiñg,"conference, meeting",conference,mítiñg,-,-,miting
