word,meaning,translation,root,type,process meaning,normalized form
1a,"interjection marking hesitation, agreement, disagreement, etc.",a,1a,-,-,1a
2a,"linking particle, uniting adjectives or descriptive phrases with verbs and nouns, relative sentences to main sentence, etc. (also ya )",a,2a,-,-,2a
-n,form of a following a vowel,n,-n,-,-,-n
ababués,"gone, departed",left quickly,abués,reduplication,partial reduplication (plural nouns),ababues
ábak,to consume too much,waste,ábak,-,-,abak
ábakábak,to be (an) auspicious (time) for formally finalizing a marriage arrangement between the families of the bride and groom (man -),,ábak,reduplication,partial reduplication (plural nouns),abakabak
abakáda,alphabet,alphabet,abaká,suffix,3pl genitive enclitic,abakada
abalá,shoulder,shoulder,abalá,-,-,abala
abála,"be busy or occupied; to annoy, be a disturbance (man -)",busy,abála,-,-,abala
abalayán,"co-parent-in-law, i.e. the relationship holding between the parents of the bride and those of the groom (term of address and reference)",parent-in-law,abalayán,-,-,abalayan
sanaabalayán,the parents of the bride and groom (collectively),parent-in-laws,sanaabalayán,-,-,sanaabalayan
abaníco,fan,fan,abaníco,-,-,abanico
ábang,"rent, interest",rent,ábang,-,-,abang
abásto,supplies,supplies,abás,suffix,3sg genitive enclitic,abasto
ábay,"side, proximity; to approach, go near person or object close by (on -); put beside (i-)",side,ábay,-,-,abay
kaábay (pl. kabkaábay),person or object close by; neighbor,beside,kaábay (pl. kabkaábay),-,-,kaabay
sanábay (pl. sanáabay),relative,relative,sanábay (pl. sanáabay),-,-,sanabay
abél,cloth,cloth,abél,-,-,abel
abét,to meet (on -),meet,abét,-,-,abet
abétabét,reenactment of Christ’s meeting with his mother after the resurrection,,abét,reduplication,partial reduplication (plural nouns),abetabet
paabét,to give as a gift,give,abét,nasal_prefix,causative/instrumental nasal-assimilating,paabet
aviadór,pilot,pilot,aviadór,-,-,aviador
ábig,"good, fine; be well (on -)",good,ábig,-,-,abig
maábig,"good, fine, well, sound, healthy",fine,ábig,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maabig
mabábig,agreeable,agreeable,bábig,prefix,causative / stative,mababig
makapaábig,"be pleasant, agreeable to one",agreeable to one,kapaábig,prefix,causative / stative,makapaabig
kabkaabigán,just right,just right,kabkaabigán,-,-,kabkaabigan
pamaábig,"betterment (of community, town, etc.)",betterment,ábig,nasal_prefix,causative/instrumental nasal-assimilating,pamaabig
abilidád,ability,ability,abilidád,-,-,abilidad
abóbon,"agree, consent, approve",agree,abóbon,-,-,abobon
abóbot,"article, things",things,abóbot,-,-,abobot
abogádo,lawyer,lawyer,abogádo,-,-,abogado
abóloy,readily allow or agree to (on -),agree,abóloy,-,-,aboloy
aboloyán,agreement,agreement,aboloyán,-,-,aboloyan
abúno,fertilizer,fertilizer,abúno,-,-,abuno
abóng,"home, house, dwelling; set up house (man -)",house,abóng,-,-,abong
paabóng,feel at home; make (one) at home,feel at home,abóng,nasal_prefix,causative/instrumental nasal-assimilating,paabong
sankaabongán,"neighbors, people from same locality",neighbors,sankaabongán,-,-,sankaabongan
aborído,"distraught; ill at ease, worried",distraught,aborído,-,-,aborido
aboróg,"rash of red spots on skin caused by allergic reaction to somethingn eaten, esp. fruit",rash,aboróg,-,-,aborog
abosádo,throw a tantrum (man -),tantrum,abosádo,-,-,abosado
ábot,to catch up (with),catch up,ábot,-,-,abot
abót,"hole, pit; dig a hole (man -)",hole,abót,-,-,abot
abracÉtE,to hold someone by grasping the upper arms,grasp,abracÉtE,-,-,abracete
abríl,April,april,abríl,-,-,abril
adiós,goodbye,goodbye,adiós,-,-,adios
admíra,to admire,admire,admíra,-,-,admira
aduána,Bureau of Internal Revenue,Bureau of Internal Revenue,aduána,-,-,aduana
adóbo,"way of preparing meat by cooking with vinegar, spices, etc.",adobo,adóbo,-,-,adobo
adórno,"to decorate, garnish",garnish,adórno,-,-,adorno
aeropláno,airplane,airplane,eropláno,nasal_prefix,"actor focus (nasal-assimilating, completed)",aeroplano
ag,"not (usually phonologically bound to following word, as in ag ák‘not I’)",no,ag,-,-,ag
agá,"(ag+ 3rd pers. singular pronoun) not he, she, it",not,agá,-,-,aga
agáag,"of light: to be bright, widely distributed",be bright,agáag,-,-,agaag
agága,"attracted, become attracted (on -)",attracted,agága,-,-,agaga
agagá,to miss,miss,agá,reduplication,partial reduplication (plural nouns),agaga
agamáng,small shrimp; seasoning made from salted agamáng,small shrimp,agamáng,-,-,agamang
agát,ginger,ginger,agát,-,-,agat
agáy,exclamation of surprise ‘how indeed!’,how indeed!,agáy,-,-,agay
agáyep,string beans,string beans,agáyep,-,-,agayep
agél,"zeal, care, conscientiousness; take care, etc. (mañgi -)",care,agél,-,-,agel
1ágew,day,day,1ágew,-,-,1agew
"ágewágew, inágewágew","daily, every day",everyday,"ágew, ágewágew",infix,completed aspect marker,"agewagew, inagewagew"
2ágew,"sun; be light, sunny (on -)",sun,2ágew,-,-,2agew
agéyet,mosquito; be bitten by mosquitoes (-en ),mosquito,agéyet,-,-,ageyet
maagéyet,infested with mosquitoes,infested with mosquitoes,agéyet,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maageyet
1agí,younger sibling or other person of same generation,sibling,1agí,-,-,1agi
2agí,"interjection of alarm: ‘alas’, ‘ouch!’","""oops!""",2agí,-,-,2agi
ágila,eagle,eagle,ágila,-,-,agila
aginaldó,Christmas present; to go asking for presents (mi-); to carol (carolers are usually rewarded for their efforts) (man-),Christmas present,agaldó,infix,completed aspect marker,aginaldo
naaginaldó,proceeds from caroling,caroling,naagaldó,infix,completed aspect marker,naaginaldo
mísa aginaldó,misa de gallo,misa de gallo,mísa agaldó,infix,completed aspect marker,misa aginaldo
ágkit,sticky wax,sticky ,ágkit,-,-,agkit
aguá,perfume; to (apply) perfume (man -),perfume,aguá,-,-,agua
aguánta,"fast, speedy, efficient, resourceful; become fast, etc. (on-)",fast,aguán,suffix,1du inclusive genitive enclitic,aguanta
ágom,greedy,greedy,ágom,-,-,agom
maágom,very greedy,very greedy,ágom,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maagom
ágos,to flow (on -),flow,ágos,-,-,agos
aguát,"to lift out of a hole, box, etc. (maN -)",lift,aguát,-,-,aguat
agósto,August,August,agós,suffix,3sg genitive enclitic,agosto
agtó,to carry on the head (man -),carry on the head,agtó,-,-,agto
ahÉntÉ,agent,agent,"agÉntÉ,ahÉntÉ",-,-,ahente
áhit,to shave (man -),shave,áhit,-,-,ahit
ak,I (subject/topic pronoun),I ,ak,-,-,ak
ko,"(-kfollowing a vowel) by me, my",by me,ko,-,-,ko
siák,"I, me (independent pronoun)",Me,siák,-,-,siak
ákal,to recover from surprise,recover,ákal,-,-,akal
akár,"going, movement; to walk, move (man -, on-); go to (i -)",walk,akár,-,-,akar
paakár,to drive a vehicle (mañgi -),,akár,nasal_prefix,causative/instrumental nasal-assimilating,paakar
yakár,walk,walk,yakár,-,-,yakar
pamakarán,intention,intention,akarán,nasal_prefix,causative/instrumental nasal-assimilating,pamakaran
ákay,"to lead by the hand, guide thus (man -)",guide,ákay,-,-,akay
akbáb,"to put one’s chin up, incline the head forward",chin up,akbáb,-,-,akbab
akbíbit,"have within, carry with one, have with one constantly",carry with one,akbíbit,-,-,akbibit
ákin,why,why,ák,suffix,patient/theme focus (completed),akin
akír,to remove from the fire or stove,remove from fire,akír,-,-,akir
akís,"to cry (on -, man -)",cry,akís,-,-,akis
paakís,to make (someone) cry (man -),make him/her cry,akís,nasal_prefix,causative/instrumental nasal-assimilating,paakis
akdól,"to sleep with, sleep together (mi -)",sleep together,akdól,-,-,akdol
ákdot,"remove, pluek out",remove  ,ákdot,-,-,akdot
akló,"ladle, esp. paddle or wooden spoon for removing rice from the pot",ladle,akló,-,-,aklo
akmón,to swallow,swallow,akmón,-,-,akmon
áko,"to accept, receive (on -, maN -)",accept,á,suffix,1sg genitive enclitic,ako
akoál,to put on the lap (man -),put on the lap,akoál,-,-,akoal
akuláw,"old woman, married woman, wife",old woman,akuláw,-,-,akulaw
ákop,to get with both hands,get,ákop,-,-,akop
ákot,wasp,wasp,ákot,-,-,akot
akséb,"go or come down, descend (on -)",go down,akséb,-,-,akseb
akséng,acidity,sour,akséng,-,-,akseng
aksíw,to lift by means of a pole or other instrument,lift,aksíw,-,-,aksiw
aksúbi,"accept, admit",admit,aksúbi,-,-,aksubi
alá,get (maN -)‚ take (man -),get,alá,-,-,ala
alaán,source of something,source,alaán,-,-,alaan
aláal,low tide,low tide,aláal,-,-,alaal
alabáb,to drink much wine,drink much wine,alabáb,-,-,alabab
alábat,barricade put across lower part of doorway or window to keep children from going out,barricade,alábat,-,-,alabat
onalábat,something to alight on; guide,guide,alábat,nasal_prefix,actor focus (nasal-assimilating variant),onalabat
alagár,to wait (man -),wait,alagár,-,-,alagar
alagéy,to stand (on -),stand,alagéy,-,-,alagey
paalagéy,"to erect (building, etc.) (mañgi -)",to erect,alagéy,nasal_prefix,causative/instrumental nasal-assimilating,paalagey
aláhas,jewels,jewels,aláhas,-,-,alahas
alainót,to obtain or bring together little by little,obtain,alaót,infix,completed aspect marker,alainot
álak,liquor,liquor,álak,-,-,alak
alakdán,scorpion,scorpion,alakdán,-,-,alakdan
álal,tired,tired,álal,-,-,alal
alamá,small crabs,small crabs,alamá,-,-,alama
alámbri,wire,wire,alámbri,-,-,alambri
álañgálañg,be doubtful,doubtful,álañg,reduplication,full reduplication (intensifier/frequentative),alangalang
alár,fence; to fence (man -),fence,alár,-,-,alar
alás,at (an hour of the clock),at,alás,-,-,alas
alásir,"to arrange, put in order",arange,alásir,-,-,alasir
alpít,large basket used for storing salt,large basket used for storing salt,alpít,-,-,alpit
alawá,stick used for spearing fish or getting fruit from a tree,spear,alawá,-,-,alawa
áldeg,ardor,ardor,áldeg,-,-,aldeg
maáldeg,ardent,ardent,áldeg,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maaldeg
alég,negative exhortation: ‘don’t’,do not,alég,-,-,aleg
Alemánia,Germany,Germany,Alemánia,-,-,alemania
álep,to join pieces of wood,to join,álep,-,-,alep
aléplep,dead,dead,aléplep,-,-,aleplep
aliádo,alien,alien,aliádo,-,-,aliado
álig,to imitate,imitate,álig,-,-,alig
aliguás,"to improve, prosper (on -)",imprive,aliguás,-,-,aliguas
alíkir,escape,escape,alíkir,-,-,alikir
alikóteg,"restless, constantly moving",restless,alikóteg,-,-,alikoteg
alíla,servant; to care for (esp. children) (man -),servant,alíla,-,-,alila
1alíliñg,condition,condition,1alíliñg,-,-,1aliling
2alíliñg,to be like or comparable (man-),comparable,2alíliñg,-,-,2aliling
alimbáwa,"signify, stand as an example",example,alimbáwa,-,-,alimbawa
kaalimbawaán,"example, representation; symbol",representation,kaalimbawaán,-,-,kaalimbawaan
alimbobóyog,bumble bee,bumble bee,alimbobóyog,-,-,alimboboyog
alímbos,"extremely, very much",extremely,alímbos,-,-,alimbos
aliméñg,able,able,aliméñg,-,-,alimeng
alimógagán,to walk in one’s sleep; be absent minded,absent minded,alimógagán,-,-,alimogagan
alimoréñg,dizziness; to faint,dizziness,alimoréñg,-,-,alimoreng
alindáway,"modern, up to date",modern,aldáway,infix,completed aspect marker,alindaway
maalindáway,modernized,modernized,aldáway,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maalindaway
aliñgerñgér,strong or pervading scent or fragrance,strong scent,aliñgerñgér,-,-,alingernger
aliñgiáda,"accommodating, hospitable",accomodating,aliñgiá,suffix,3pl genitive enclitic,alingiada
alipanós,fatigue,fatigue,alipanós,-,-,alipanos
alipógo,to arrange the hair in a roll or bun (but without braiding it),arrange,alipógo,-,-,alipogo
alipospós,to grapple with an opponent in a fight or game,grapple,alipospós,-,-,alipospos
alirég,clam; (also) snails found in decaying timber,clam,alirég,-,-,alireg
alís,"to leave, go away",leave,alís,-,-,alis
paalís,"let leave, drive away",let leave,alís,nasal_prefix,causative/instrumental nasal-assimilating,paalis
1aliwá,not; become different (on -),not,1aliwá,-,-,1aliwa
2aliwá,"untoward, improper",improper,2aliwá,-,-,2aliwa
alíwliwá,ugly,ugly,alíwliwá,-,-,aliwliwa
alcáldE,mayor,mayor,alcáldE,-,-,alcalde
alkansiá,"piece of bamboo tube, tin can, etc. used as ‘bank’ for storing money",piggy bank,alkansiá,-,-,alkansia
álmirol,starch; to starch (man -),starch,álmirol,-,-,almirol
álmo,"to find, encounter, meet (usu. by chance)",find,ál,suffix,2sg genitive enclitic,almo
nálmo,found,found,nál,suffix,2sg genitive enclitic,nalmo
almusál,breakfast; to eat breakfast (man -),breakfast,almusál,-,-,almusal
álneb,moist,moist,álneb,-,-,alneb
álo,pestle,pestle,álo,-,-,alo
aluár,careful; be careful (man -),careful,aluár,-,-,aluar
aloboób,hurricane; great anger,hurricane,aloboób,-,-,aloboob
álog,"stream, stream or river bed; acres,lowland field or farm",stream,álog,-,-,alog
kaalogán,wide tract of farmland,farmland,kaalogán,-,-,kaalogan
alógpos,"release, escape",release,alógpos,-,-,alogpos
alolóng,a small hut esp. constructed with nipa thatch,nipa hut,alolóng,-,-,alolong
álolot,worse; become worse (on -),worse,álolot,-,-,alolot
alombáyar,worm (general term),worm,alombáyar,-,-,alombayar
alopísing,the temples (of the head),temples,alopísg,infix,completed aspect marker,alopising
alfilÉr,pin,pin,alfilÉr,-,-,alfiler
alfómbra,"carpet, rug, or other soft covering esp. on floor",carpet,alfómbra,-,-,alfombra
álsa,"to put up, draw up, lift (man -)",carry  ,álsa,-,-,alsa
altéy,liver,liver,altéy,-,-,altey
álwas,space between two nodes (e.g. of bamboo),in between,álwas,-,-,alwas
amá,father,father,á,nasal_prefix,"actor focus (nasal-assimilating, completed)",ama
áman,that (= saman ),that,ám,suffix,locative/referent focus (non-completed),aman
ámay,the (= samay ),the,ámay,-,-,amay
amáy,eventful,eventful,áy,nasal_prefix,"actor focus (nasal-assimilating, completed)",amay
amayámay,"very many, great in number",many,ayámay,nasal_prefix,"actor focus (nasal-assimilating, completed)",amayamay
1amáyo,"dream of, contemplate (-en)",dream of,1amá,suffix,2pl genitive enclitic,1amayo
2amáyo,toy,toy,2amá,suffix,2pl genitive enclitic,2amayo
ámba,to denounce; raise one’s hand to strike another,denounce,ámba,-,-,amba
ambegiá,"to join, attend a gathering (mi -)",join,begiá,nasal_prefix,"actor focus (nasal-assimilating, completed)",ambegia
AmÉrica,United States of America,United States of America,Érica,nasal_prefix,"actor focus (nasal-assimilating, completed)",america
amEricána,"(f.), amEricáno (m.) American",american,Ericána,nasal_prefix,"actor focus (nasal-assimilating, completed)",americana
amés,to bathe (man -),bathe,és,nasal_prefix,"actor focus (nasal-assimilating, completed)",ames
amíga,"(f.), amígo (m.) friend (plural amimíga , amimígo )",friend,íga,nasal_prefix,"actor focus (nasal-assimilating, completed)",amiga
ámil,(person) unable to pronounce words clearly or articulate well,mumble,ámil,-,-,amil
amín,all,all,ín,nasal_prefix,"actor focus (nasal-assimilating, completed)",amin
amíñggay,hurt,hurt,íñggay,nasal_prefix,"actor focus (nasal-assimilating, completed)",aminggay
ámo,"master, employer",employer,á,suffix,2sg genitive enclitic,amo
maámo,tame (refers only to animals),domestic,á,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maamo
amó,"interjection denoting emphasis ‘isn’t it!’, ‘really’",really,ó,nasal_prefix,"actor focus (nasal-assimilating, completed)",amo
amóñg,to live together under the same roof,cohabit,óñg,nasal_prefix,"actor focus (nasal-assimilating, completed)",among
kaamoñgán,person living in same house,,kaamoñgán,-,-,kaamongan
amomót,"to suggest, appeal (on -)",suggest,ót,nasal_prefix,"actor focus (nasal-assimilating, completed)",amomot
ámot,"to hide (on -); in hiding, withdrawn",hide,ámot,-,-,amot
amotán,hide and seek,hide and seek,otán,nasal_prefix,"actor focus (nasal-assimilating, completed)",amotan
ámotámot,"to be in hiding, going furtively",hiding,ámot,reduplication,partial reduplication (plural nouns),amotamot
maámot,"unknown, strange (person)",unknown,ámot,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maamot
amóy,"it seems, seemingly",it seems,óy,nasal_prefix,"actor focus (nasal-assimilating, completed)",amoy
amóyot,"kind, considerate",kind,óyot,nasal_prefix,"actor focus (nasal-assimilating, completed)",amoyot
ámpar,"near, beside; compare",compare,ámpar,-,-,ampar
ampát,to hold between the palms of both hands; put one’s hands against one’s cheeks (man -),hands on cheeks,pát,nasal_prefix,"actor focus (nasal-assimilating, completed)",ampat
ampáya,"hold, keep in the palm of the hand",hold,páya,nasal_prefix,"actor focus (nasal-assimilating, completed)",ampaya
ampón,"protege, adopted child; to adopt a child (man -)",adopted,pón,nasal_prefix,"actor focus (nasal-assimilating, completed)",ampon
ámsing,"spouse of person referred to, ‘better half’",spouse,ámsg,infix,completed aspect marker,amsing
anák,"child, offspring (pl. ának); bear a child (man -)",child,ák,nasal_prefix,"actor focus (nasal-assimilating, completed)",anak
anáko,my child,my,á,nasal_prefix,"actor focus (nasal-assimilating, completed)",anako
añganák,"one who has sponsored a child at baptism, etc.",one,añganák,-,-,anganak
inkiának,birthday,birthday,nkiának,prefix,theme/goal or benefactive focus (non-completed),inkianak
kapaniának,newly born baby,newly,kapaniának,-,-,kapanianak
manamianák,midwife,midwife,anák,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",manamianak
panának,time or month of delivery,time,ának,nasal_prefix,causative/instrumental nasal-assimilating,pananak
anáp,"to seek, look for (man -)",to,áp,nasal_prefix,"actor focus (nasal-assimilating, completed)",anap
ánap,to earn a living (man -),to,ánap,-,-,anap
anapán,"source of income; job, work",source,apán,nasal_prefix,"actor focus (nasal-assimilating, completed)",anapan
anapanáp,"to long for, crave (-en )",to,apanáp,nasal_prefix,"actor focus (nasal-assimilating, completed)",anapanap
andá,"give, hand (to speaker), ‘may I have’","give,",dá,nasal_prefix,"actor focus (nasal-assimilating, completed)",anda
ándap,to flicker (man -),to,ándap,-,-,andap
ándar,to drive off in a car andí no,to,ándar,-,-,andar
naandí,"totally out of sight, vanish",totally,naandí,-,-,naandi
andídman,not there,not,dídm,nasal_prefix,"actor focus (nasal-assimilating, completed)",andidman
andídtan,not there (near addressee),not,dídt,nasal_prefix,"actor focus (nasal-assimilating, completed)",andidtan
andíria,not here,not,díria,nasal_prefix,"actor focus (nasal-assimilating, completed)",andiria
andírit,cicada,cicada,dírit,nasal_prefix,"actor focus (nasal-assimilating, completed)",andirit
ándo,to endure (man -); duration,to,ándo,-,-,ando
andóyan,"hammock, cradle; be in a hammock, etc. (man -)",hammock,dóy,nasal_prefix,"actor focus (nasal-assimilating, completed)",andoyan
aném,six,six,ém,nasal_prefix,"actor focus (nasal-assimilating, completed)",anem
anemáplo,sixty,sixty,emáplo,nasal_prefix,"actor focus (nasal-assimilating, completed)",anemaplo
kumánem,sixth in order,sixth,kumánem,-,-,kumanem
mamínem,six times,six,ínem,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maminem
mikaaném,sixth,sixth,kaaném,prefix,reciprocal/distributive,mikaanem
pínen,sixth,sixth,pín,suffix,patient focus (non-completed),pinen
sanánem,six each,six,sanánem,-,-,sananem
anénen,for what purpose? what will be done with? (followed by attributive pronoun if actor is indicated),for,én,nasal_prefix,"actor focus (nasal-assimilating, completed)",anenen
áni,to harvest (man -),to,áni,-,-,ani
naáni,"harvested crops (esp. rice, corn)",harvested,naáni,-,-,naani
panañgáni,harvest season,harvest,añgáni,nasal_prefix,causative/instrumental nasal-assimilating,panangani
aniáni,"apparition, ghost, spirit","apparition,",áni,nasal_prefix,"actor focus (nasal-assimilating, completed)",aniani
anivErsário,"anniversary (of wedding, etc.)",anniversary,vErsário,nasal_prefix,"actor focus (nasal-assimilating, completed)",aniversario
aníno,shadow,shadow,íno,nasal_prefix,"actor focus (nasal-assimilating, completed)",anino
anláy,to attract with music or song; poetical speech,to,láy,nasal_prefix,"actor focus (nasal-assimilating, completed)",anlay
anlóñg,"poem, verse, rhyme","poem,",lóñg,nasal_prefix,"actor focus (nasal-assimilating, completed)",anlong
anúnsio,advertisement,advertisement,únsio,nasal_prefix,"actor focus (nasal-assimilating, completed)",anunsio
anóp,to hunt with dogs (maN- ),to,óp,nasal_prefix,"actor focus (nasal-assimilating, completed)",anop
managanóp,hunter,hunter,aganóp,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",managanop
anór,to drift (on -),to,ór,nasal_prefix,"actor focus (nasal-assimilating, completed)",anor
ánus,"tolerate, put up with","tolerate,",ánus,-,-,anus
maánus,"kind, tolerant","kind,",ánus,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maanus
anóyaw,rice bird,rice,óyaw,nasal_prefix,"actor focus (nasal-assimilating, completed)",anoyaw
ansisímot,flying termite,flying,sisímot,nasal_prefix,"actor focus (nasal-assimilating, completed)",ansisimot
antá,known (uninflected passive verb stem),known,tá,nasal_prefix,"actor focus (nasal-assimilating, completed)",anta
antaén,ought to be known (by…),ought,taén,nasal_prefix,"actor focus (nasal-assimilating, completed)",antaen
makaánta,one who knows,one,kaán,prefix,causative / stative,makaanta
antábay,"to guide, assist in learning a skill (maN -)",to,tábay,nasal_prefix,"actor focus (nasal-assimilating, completed)",antabay
antés,before,before,tés,nasal_prefix,"actor focus (nasal-assimilating, completed)",antes
antígo,"genuine, lasting (of object already old)","genuine,",tígo,nasal_prefix,"actor focus (nasal-assimilating, completed)",antigo
ántiñg-ántiñg,amulet,amulet,ántiñg-ántiñg,-,-,anting-anting
antióhos,eyeglasses,eyeglasses,tióhos,nasal_prefix,"actor focus (nasal-assimilating, completed)",antiohos
antipára,eyeglasses,eyeglasses,tipára,nasal_prefix,"actor focus (nasal-assimilating, completed)",antipara
antó,what,what,tó,nasal_prefix,"actor focus (nasal-assimilating, completed)",anto
antokamán,whatever,whatever,tokamán,nasal_prefix,"actor focus (nasal-assimilating, completed)",antokaman
ányos,age,age,ányos,-,-,anyos
áñgan,"believed, thought (by)","believed,",áñg,suffix,locative/referent focus (non-completed),angan
añgáy,to fit well (on -),to fit,añgáy,-,-,angay
añgés,to breathe (man -),to breathe,añgés,-,-,anges
añggá,"end, termination","end,",añggá,-,-,angga
añggaán,"furthest extent, limit",furthest,añggaán,-,-,anggaan
añggán,"during, throughout, until","during,",añggán,-,-,anggan
añggáno,"whatever, even if","whatever,",añggáno,-,-,anggano
añggapó,not existing,not,añggapó,-,-,anggapo
"añghÉl, angél /añghÉl/",angel,angel,"añghÉl, angél /añghÉl/",-,-,"anghel, angel /anghel/"
áñgkas,to ride with another,to ride with,áñgkas,-,-,angkas
añgkát,to buy wholesale (i -),to buy in bulk,añgkát,-,-,angkat
añgló,"odor or taste of sour milk or spoiled, meat",odor,añgló,-,-,anglo
añgób,to smell (-en ); to kiss (-an ),to,añgób,-,-,angob
añgóyob,small bamboo tube used for blowing fire;,small,añgóyob,-,-,angoyob
áñgsab,out of breath,out,áñgsab,-,-,angsab
aón,"to draw out, hide out from something or some place (maN -)",to,ón,nasal_prefix,"actor focus (nasal-assimilating, completed)",aon
aúto,"car, automobile (= óto )","car,",ú,nasal_prefix,"actor focus (nasal-assimilating, completed)",auto
ápa,"emptiness, sterility, desolation","emptiness,",ápa,-,-,apa
maápa,"destroyed, sterile","destroyed,",ápa,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maapa
apág,"to share equally (man -, mi-); a share",to,apág,-,-,apag
1apáp,"to put something under something else, as leaves in the bottom of a pot before the rice, so the latter will not stick to the pot itself (man-)",to,1apáp,-,-,1apap
2apáp,"gate to, way to",gate,2apáp,-,-,2apap
apáñgat,fly (insect),fly,apáñgat,-,-,apangat
maapáñgat,infested with flies,infested,apáñgat,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maapangat
aparadór,"wardrobe, closet","wardrobe,",aparadór,-,-,aparador
apát,four,four,apát,-,-,apat
apatáplo,forty,forty,apatáplo,-,-,apataplo
apatpatíra,four only,four,apatpatíra,-,-,apatpatira
kakápat,"one fourth, quarter",one,kakápat,-,-,kakapat
kápat,"that which makes four (i.e. fourth, but not in any order of ranking)",that,kápat,-,-,kapat
komápat,fourth in order,fourth,komápat,-,-,komapat
labinapát,fourteen,fourteen,labapát,infix,completed aspect marker,labinapat
mikápat,fourth,fourth,kápat,prefix,reciprocal/distributive,mikapat
pípat,fourth time,fourth,pípat,-,-,pipat
sanépat,"four by four, four each",four,sanépat,-,-,sanepat
apáyas,papaya,papaya,apáyas,-,-,apayas
apélo,appeal; to appeal (man -),appeal;,apélo,-,-,apelo
apelyédo,surname,surname,apelyédo,-,-,apelyedo
ápges,a smarting pain,a,ápges,-,-,apges
apgó,"bile, gall","bile,",apgó,-,-,apgo
apíger,"to fix, repair, put in order (man -)",to,apíger,-,-,apiger
apíñg,the cheeks,the,apíñg,-,-,aping
maapíñg,having big cheeks,having,apíñg,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maaping
apiréñg,"to appeal (esp. for protection) (on -, man -)",to,apiréñg,-,-,apireng
apís,to coat or cover with something (man -),to,apís,-,-,apis
afición,ambition,ambition,afición,-,-,aficion
aplós,to pass the hand over something; caress,to,aplós,-,-,aplos
ápo,term of respect used especially when addressing a priest.,term,ápo,-,-,apo
apó,"grandchild, great–nephew, great–niece; to have grandchildren (maN -)","grandchild,",apó,-,-,apo
apurá,in a hurry,in,apurá,-,-,apura
apurádo,in a hurry,in,apurádo,-,-,apurado
maapurádo,"be in a hurry, hurried",be,apurádo,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maapurado
apóy,fire; to start a fire (maN -),fire;,apóy,-,-,apoy
áral,"to learn, study (man -)",to,áral,-,-,aral
manáaral,"apprentice, student, learner","apprentice,",áaral,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",manaaral
aráp,"front, presence; to face","front,",aráp,-,-,arap
árapen,future,future,árap,suffix,patient focus (non-completed),arapen
árapen na taon,next year,next,árapen na taon,-,-,arapen na taon
árbaka,small daisy-like medicinal herb,small,árbaka,-,-,arbaka
arbolário,specialist in herbal medicine; quack doctor,specialist,arbolário,-,-,arbolario
arÉgla,"arrange, regulate, modulate","arrange,",arÉgla,-,-,aregla
aregládo,"all right, okay",all,aregládo,-,-,areglado
arEglár,arÉgla,arÉgla,arEglár,-,-,areglar
argólyo,shape,shape,argól,suffix,2pl genitive enclitic,argolyo
ári,king; become king (on -); to reign (man -),king;,ári,-,-,ari
panarián,"kingdom, reign arína, harína /arína/ flour","kingdom,",arián,nasal_prefix,causative/instrumental nasal-assimilating,panarian
ariñgríñg,"neigh, to neigh (man -)","neigh,",ariñgríñg,-,-,aringring
aripén,"maid, helper, servant","maid,",aripén,-,-,aripen
arísibi,"receive, accept","receive,",arísibi,-,-,arisibi
arísga,"jolly, become jolly (on -)","jolly,",arísga,-,-,arisga
arcó,"arch, bow","arch,",arcó,-,-,arco
árkos,to decorate,to,árkos,-,-,arkos
árloñg,"festive lights, illuminated decoration",festive,árloñg,-,-,arlong
ármas,"arms, weapons","arms,",ármas,-,-,armas
arníbal,sugar syrup,sugar,arníbal,-,-,arnibal
áro,love; to love (maN -),love;,áro,-,-,aro
ináro,"sweetheart, beloved","sweetheart,",náro,prefix,theme/goal or benefactive focus (non-completed),inaro
kaáro,sweetheart; close friend,sweetheart;,kaáro,-,-,kaaro
sankaáro,two friends,two,sankaáro,-,-,sankaaro
aróm,"some, other, others; to add (i -)","some,",aróm,-,-,arom
onaróm,in addition to,in,aróm,nasal_prefix,actor focus (nasal-assimilating variant),onarom
no,aróm sometime,aróm,no,-,-,no
árpa,harp,harp,árpa,-,-,arpa
árte,"to adorn, decorate; art",to,árte,-,-,arte
ásaása,small herring-like salt water fish,small,ása,reduplication,partial reduplication (plural nouns),asaasa
asáng,gills,gills,asáng,-,-,asang
nanasáng,"gilled, having gills","gilled,",asáng,prefix,actor focus (completed),nanasang
