word,meaning,source,morphology,root,processes,type,meaning2,form,normalized_form
1a,"interjection marking hesitation, agreement, disagreement, etc.",Dictionary A,"{""root"":""1a"",""processes"":[]}",,,,,1a,1a
2a,"linking particle, uniting adjectives or descriptive phrases with verbs and nouns, relative sentences to main sentence, etc. (also ya )",Dictionary A,"{""root"":""2a"",""processes"":[]}",,,,,2a,2a
-n,form of a following a vowel,Dictionary A,"{""root"":""-n"",""processes"":[]}",,,,,-n,-n
ababués,"gone, departed",Dictionary A,"{""root"":""abués"",""processes"":[{""type"":""reduplication"",""meaning"":""partial reduplication (plural nouns)"",""form"":""CV-"",""normalized_form"":""CV"",""partial_chunk"":""ab""}]}",,,,,ababués,ababues
ábak,to consume too much,Dictionary A,"{""root"":""ábak"",""processes"":[]}",,,,,ábak,abak
ábakábak,to be (an) auspicious (time) for formally finalizing a marriage arrangement between the families of the bride and groom (man -),Dictionary A,"{""root"":""ábak"",""processes"":[{""type"":""reduplication"",""meaning"":""partial reduplication (plural nouns)"",""form"":""CVCV-"",""normalized_form"":""CVCV"",""partial_chunk"":""ábak""}]}",,,,,ábakábak,abakabak
abakáda,alphabet,Dictionary A,"{""root"":""abaká"",""processes"":[{""type"":""suffix"",""meaning"":""3pl genitive enclitic"",""form"":""-da"",""normalized_form"":""da""}]}",,,,,abakáda,abakada
abalá,shoulder,Dictionary A,"{""root"":""abalá"",""processes"":[]}",,,,,abalá,abala
abála,"be busy or occupied; to annoy, be a disturbance (man -)",Dictionary A,"{""root"":""abála"",""processes"":[]}",,,,,abála,abala
abalayán,"co-parent-in-law, i.e. the relationship holding between the parents of the bride and those of the groom (term of address and reference)",Dictionary A,"{""root"":""abalayán"",""processes"":[]}",,,,,abalayán,abalayan
sanaabalayán,the parents of the bride and groom (collectively),Dictionary A,"{""root"":""sanaabalayán"",""processes"":[]}",,,,,sanaabalayán,sanaabalayan
abaníco,fan,Dictionary A,"{""root"":""abaníco"",""processes"":[]}",,,,,abaníco,abanico
ábang,"rent, interest",Dictionary A,"{""root"":""ábang"",""processes"":[]}",,,,,ábang,abang
abásto,supplies,Dictionary A,"{""root"":""abás"",""processes"":[{""type"":""suffix"",""meaning"":""3sg genitive enclitic"",""form"":""-to"",""normalized_form"":""to""}]}",,,,,abásto,abasto
ábay,"side, proximity; to approach, go near person or object close by (on -); put beside (i-)",Dictionary A,"{""root"":""ábay"",""processes"":[]}",,,,,ábay,abay
kaábay (pl. kabkaábay),person or object close by; neighbor,Dictionary A,"{""root"":""kaábay (pl. kabkaábay)"",""processes"":[]}",,,,,kaábay (pl. kabkaábay),kaabay (pl. kabkaabay)
sanábay (pl. sanáabay),relative,Dictionary A,"{""root"":""sanábay (pl. sanáabay)"",""processes"":[]}",,,,,sanábay (pl. sanáabay),sanabay (pl. sanaabay)
abél,cloth,Dictionary A,"{""root"":""abél"",""processes"":[]}",,,,,abél,abel
abét,to meet (on -),Dictionary A,"{""root"":""abét"",""processes"":[]}",,,,,abét,abet
abétabét,reenactment of Christ’s meeting with his mother after the resurrection,Dictionary A,"{""root"":""abét"",""processes"":[{""type"":""reduplication"",""meaning"":""partial reduplication (plural nouns)"",""form"":""CVCV-"",""normalized_form"":""CVCV"",""partial_chunk"":""abét""}]}",,,,,abétabét,abetabet
paabét,to give as a gift,Dictionary A,"{""root"":""abét"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""causative/instrumental nasal-assimilating"",""form"":""paN-"",""normalized_form"":""pa"",""applied_allomorph"":""""}]}",,,,,paabét,paabet
aviadór,pilot,Dictionary A,"{""root"":""aviadór"",""processes"":[]}",,,,,aviadór,aviador
ábig,"good, fine; be well (on -)",Dictionary A,"{""root"":""ábig"",""processes"":[]}",,,,,ábig,abig
maábig,"good, fine, well, sound, healthy",Dictionary A,"{""root"":""ábig"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, non-completed)"",""form"":""maN-"",""normalized_form"":""ma"",""applied_allomorph"":""""}]}",,,,,maábig,maabig
mabábig,agreeable,Dictionary A,"{""root"":""bábig"",""processes"":[{""type"":""prefix"",""meaning"":""causative / stative"",""form"":""ma-"",""normalized_form"":""ma""}]}",,,,,mabábig,mababig
makapaábig,"be pleasant, agreeable to one",Dictionary A,"{""root"":""kapaábig"",""processes"":[{""type"":""prefix"",""meaning"":""causative / stative"",""form"":""ma-"",""normalized_form"":""ma""}]}",,,,,makapaábig,makapaabig
kabkaabigán,just right,Dictionary A,"{""root"":""kabkaabigán"",""processes"":[]}",,,,,kabkaabigán,kabkaabigan
pamaábig,"betterment (of community, town, etc.)",Dictionary A,"{""root"":""ábig"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""causative/instrumental nasal-assimilating"",""form"":""paN-"",""normalized_form"":""pa"",""applied_allomorph"":""m""},{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, completed)"",""form"":""aN-"",""normalized_form"":""a"",""applied_allomorph"":""""}]}",,,,,pamaábig,pamaabig
abilidád,ability,Dictionary A,"{""root"":""abilidád"",""processes"":[]}",,,,,abilidád,abilidad
abóbon,"agree, consent, approve",Dictionary A,"{""root"":""abóbon"",""processes"":[]}",,,,,abóbon,abobon
abóbot,"article, things",Dictionary A,"{""root"":""abóbot"",""processes"":[]}",,,,,abóbot,abobot
abogádo,lawyer,Dictionary A,"{""root"":""abogádo"",""processes"":[]}",,,,,abogádo,abogado
abóloy,readily allow or agree to (on -),Dictionary A,"{""root"":""abóloy"",""processes"":[]}",,,,,abóloy,aboloy
aboloyán,agreement,Dictionary A,"{""root"":""aboloyán"",""processes"":[]}",,,,,aboloyán,aboloyan
abúno,fertilizer,Dictionary A,"{""root"":""abúno"",""processes"":[]}",,,,,abúno,abuno
abóng,"home, house, dwelling; set up house (man -)",Dictionary A,"{""root"":""abóng"",""processes"":[]}",,,,,abóng,abong
paabóng,feel at home; make (one) at home,Dictionary A,"{""root"":""abóng"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""causative/instrumental nasal-assimilating"",""form"":""paN-"",""normalized_form"":""pa"",""applied_allomorph"":""""}]}",,,,,paabóng,paabong
sankaabongán,"neighbors, people from same locality",Dictionary A,"{""root"":""sankaabongán"",""processes"":[]}",,,,,sankaabongán,sankaabongan
aborído,"distraught; ill at ease, worried",Dictionary A,"{""root"":""aborído"",""processes"":[]}",,,,,aborído,aborido
aboróg,"rash of red spots on skin caused by allergic reaction to somethingn eaten, esp. fruit",Dictionary A,"{""root"":""aboróg"",""processes"":[]}",,,,,aboróg,aborog
abosádo,throw a tantrum (man -),Dictionary A,"{""root"":""abosádo"",""processes"":[]}",,,,,abosádo,abosado
ábot,to catch up (with),Dictionary A,"{""root"":""ábot"",""processes"":[]}",,,,,ábot,abot
abót,"hole, pit; dig a hole (man -)",Dictionary A,"{""root"":""abót"",""processes"":[]}",,,,,abót,abot
abracÉtE,to hold someone by grasping the upper arms,Dictionary A,"{""root"":""abracÉtE"",""processes"":[]}",,,,,abracÉtE,abracete
abríl,April,Dictionary A,"{""root"":""abríl"",""processes"":[]}",,,,,abríl,abril
adiós,goodbye,Dictionary A,"{""root"":""adiós"",""processes"":[]}",,,,,adiós,adios
admíra,to admire,Dictionary A,"{""root"":""admíra"",""processes"":[]}",,,,,admíra,admira
aduána,Bureau of Internal Revenue,Dictionary A,"{""root"":""aduána"",""processes"":[]}",,,,,aduána,aduana
adóbo,"way of preparing meat by cooking with vinegar, spices, etc.",Dictionary A,"{""root"":""adóbo"",""processes"":[]}",,,,,adóbo,adobo
adórno,"to decorate, garnish",Dictionary A,"{""root"":""adórno"",""processes"":[]}",,,,,adórno,adorno
aeropláno,airplane,Dictionary A,"{""root"":""eropláno"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, completed)"",""form"":""aN-"",""normalized_form"":""a"",""applied_allomorph"":""""}]}",,,,,aeropláno,aeroplano
ag,"not (usually phonologically bound to following word, as in ag ák‘not I’)",Dictionary A,"{""root"":""ag"",""processes"":[]}",,,,,ag,ag
agá,"(ag+ 3rd pers. singular pronoun) not he, she, it",Dictionary A,"{""root"":""agá"",""processes"":[]}",,,,,agá,aga
agáag,"of light: to be bright, widely distributed",Dictionary A,"{""root"":""agáag"",""processes"":[]}",,,,,agáag,agaag
agága,"attracted, become attracted (on -)",Dictionary A,"{""root"":""agága"",""processes"":[]}",,,,,agága,agaga
agagá,to miss,Dictionary A,"{""root"":""agá"",""processes"":[{""type"":""reduplication"",""meaning"":""partial reduplication (plural nouns)"",""form"":""CV-"",""normalized_form"":""CV"",""partial_chunk"":""ag""}]}",,,,,agagá,agaga
agamáng,small shrimp; seasoning made from salted agamáng,Dictionary A,"{""root"":""agamáng"",""processes"":[]}",,,,,agamáng,agamang
agát,ginger,Dictionary A,"{""root"":""agát"",""processes"":[]}",,,,,agát,agat
agáy,exclamation of surprise ‘how indeed!’,Dictionary A,"{""root"":""agáy"",""processes"":[]}",,,,,agáy,agay
agáyep,string beans,Dictionary A,"{""root"":""agáyep"",""processes"":[]}",,,,,agáyep,agayep
agél,"zeal, care, conscientiousness; take care, etc. (mañgi -)",Dictionary A,"{""root"":""agél"",""processes"":[]}",,,,,agél,agel
1ágew,day,Dictionary A,"{""root"":""1ágew"",""processes"":[]}",,,,,1ágew,1agew
"ágewágew, inágewágew","daily, every day",Dictionary A,"{""root"":""ágew, ágewágew"",""processes"":[{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":10},{""type"":""reduplication"",""meaning"":""partial reduplication (plural nouns)"",""form"":""CVCV-"",""normalized_form"":""CVCV"",""partial_chunk"":""ágew""}]}",,,,,"ágewágew, inágewágew","agewagew, inagewagew"
2ágew,"sun; be light, sunny (on -)",Dictionary A,"{""root"":""2ágew"",""processes"":[]}",,,,,2ágew,2agew
agéyet,mosquito; be bitten by mosquitoes (-en ),Dictionary A,"{""root"":""agéyet"",""processes"":[]}",,,,,agéyet,ageyet
maagéyet,infested with mosquitoes,Dictionary A,"{""root"":""agéyet"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, non-completed)"",""form"":""maN-"",""normalized_form"":""ma"",""applied_allomorph"":""""}]}",,,,,maagéyet,maageyet
1agí,younger sibling or other person of same generation,Dictionary A,"{""root"":""1agí"",""processes"":[]}",,,,,1agí,1agi
2agí,"interjection of alarm: ‘alas’, ‘ouch!’",Dictionary A,"{""root"":""2agí"",""processes"":[]}",,,,,2agí,2agi
ágila,eagle,Dictionary A,"{""root"":""ágila"",""processes"":[]}",,,,,ágila,agila
aginaldó,Christmas present; to go asking for presents (mi-); to carol (carolers are usually rewarded for their efforts) (man-),Dictionary A,"{""root"":""agaldó"",""processes"":[{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":2}]}",,,,,aginaldó,aginaldo
naaginaldó,proceeds from caroling,Dictionary A,"{""root"":""naagaldó"",""processes"":[{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":4}]}",,,,,naaginaldó,naaginaldo
mísa aginaldó,"= misa de gallo, g.v.",Dictionary A,"{""root"":""mísa agaldó"",""processes"":[{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":7}]}",,,,,mísa aginaldó,misa aginaldo
ágkit,sticky wax,Dictionary A,"{""root"":""ágkit"",""processes"":[]}",,,,,ágkit,agkit
aguá,perfume; to (apply) perfume (man -),Dictionary A,"{""root"":""aguá"",""processes"":[]}",,,,,aguá,agua
aguánta,"fast, speedy, efficient, resourceful; become fast, etc. (on-)",Dictionary A,"{""root"":""aguán"",""processes"":[{""type"":""suffix"",""meaning"":""1du inclusive genitive enclitic"",""form"":""-ta"",""normalized_form"":""ta""}]}",,,,,aguánta,aguanta
ágom,greedy,Dictionary A,"{""root"":""ágom"",""processes"":[]}",,,,,ágom,agom
maágom,very greedy,Dictionary A,"{""root"":""ágom"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, non-completed)"",""form"":""maN-"",""normalized_form"":""ma"",""applied_allomorph"":""""}]}",,,,,maágom,maagom
ágos,to flow (on -),Dictionary A,"{""root"":""ágos"",""processes"":[]}",,,,,ágos,agos
aguát,"to lift out of a hole, box, etc. (maN -)",Dictionary A,"{""root"":""aguát"",""processes"":[]}",,,,,aguát,aguat
agósto,August,Dictionary A,"{""root"":""agós"",""processes"":[{""type"":""suffix"",""meaning"":""3sg genitive enclitic"",""form"":""-to"",""normalized_form"":""to""}]}",,,,,agósto,agosto
agtó,to carry on the head (man -),Dictionary A,"{""root"":""agtó"",""processes"":[]}",,,,,agtó,agto
"agÉntÉ,ahÉntÉ",agent,Dictionary A,"{""root"":""agÉntÉ,ahÉntÉ"",""processes"":[]}",,,,,"agÉntÉ,ahÉntÉ","agente,ahente"
áhit,to shave (man -),Dictionary A,"{""root"":""áhit"",""processes"":[]}",,,,,áhit,ahit
ak,I (subject/topic pronoun),Dictionary A,"{""root"":""ak"",""processes"":[]}",,,,,ak,ak
ko,"(-kfollowing a vowel) by me, my","Dictionary A, Dictionary K","{""root"":""ko"",""processes"":[]}",,,,,ko,ko
siák,"I, me (independent pronoun)","Dictionary A, Dictionary S","{""root"":""siák"",""processes"":[]}",,,,,siák,siak
ákal,to recover from surprise,Dictionary A,"{""root"":""ákal"",""processes"":[]}",,,,,ákal,akal
akár,"going, movement; to walk, move (man -, on-); go to (i -)",Dictionary A,"{""root"":""akár"",""processes"":[]}",,,,,akár,akar
paakár,to drive a vehicle (mañgi -),Dictionary A,"{""root"":""akár"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""causative/instrumental nasal-assimilating"",""form"":""paN-"",""normalized_form"":""pa"",""applied_allomorph"":""""}]}",,,,,paakár,paakar
yakár,= i- + akár,Dictionary A,"{""root"":""yakár"",""processes"":[]}",,,,,yakár,yakar
pamakarán,intention,Dictionary A,"{""root"":""akarán"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""causative/instrumental nasal-assimilating"",""form"":""paN-"",""normalized_form"":""pa"",""applied_allomorph"":""m""}]}",,,,,pamakarán,pamakaran
ákay,"to lead by the hand, guide thus (man -)",Dictionary A,"{""root"":""ákay"",""processes"":[]}",,,,,ákay,akay
akbáb,"to put one’s chin up, incline the head forward",Dictionary A,"{""root"":""akbáb"",""processes"":[]}",,,,,akbáb,akbab
akbíbit,"have within, carry with one, have with one constantly",Dictionary A,"{""root"":""akbíbit"",""processes"":[]}",,,,,akbíbit,akbibit
ákin,why,Dictionary A,"{""root"":""ák"",""processes"":[{""type"":""suffix"",""meaning"":""patient/theme focus (completed)"",""form"":""-in"",""normalized_form"":""in""}]}",,,,,ákin,akin
akír,to remove from the fire or stove,Dictionary A,"{""root"":""akír"",""processes"":[]}",,,,,akír,akir
akís,"to cry (on -, man -)",Dictionary A,"{""root"":""akís"",""processes"":[]}",,,,,akís,akis
paakís,to make (someone) cry (man -),Dictionary A,"{""root"":""akís"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""causative/instrumental nasal-assimilating"",""form"":""paN-"",""normalized_form"":""pa"",""applied_allomorph"":""""}]}",,,,,paakís,paakis
akdól,"to sleep with, sleep together (mi -)",Dictionary A,"{""root"":""akdól"",""processes"":[]}",,,,,akdól,akdol
ákdot,"remove, pluek out",Dictionary A,"{""root"":""ákdot"",""processes"":[]}",,,,,ákdot,akdot
akló,"ladle, esp. paddle or wooden spoon for removing rice from the pot",Dictionary A,"{""root"":""akló"",""processes"":[]}",,,,,akló,aklo
akmón,to swallow,Dictionary A,"{""root"":""akmón"",""processes"":[]}",,,,,akmón,akmon
áko,"to accept, receive (on -, maN -)",Dictionary A,"{""root"":""á"",""processes"":[{""type"":""suffix"",""meaning"":""1sg genitive enclitic"",""form"":""-ko"",""normalized_form"":""ko""}]}",,,,,áko,ako
akoál,to put on the lap (man -),Dictionary A,"{""root"":""akoál"",""processes"":[]}",,,,,akoál,akoal
akuláw,"old woman, married woman, wife",Dictionary A,"{""root"":""akuláw"",""processes"":[]}",,,,,akuláw,akulaw
ákop,to get with both hands,Dictionary A,"{""root"":""ákop"",""processes"":[]}",,,,,ákop,akop
ákot,wasp,Dictionary A,"{""root"":""ákot"",""processes"":[]}",,,,,ákot,akot
akséb,"go or come down, descend (on -)",Dictionary A,"{""root"":""akséb"",""processes"":[]}",,,,,akséb,akseb
akséng,acidity,Dictionary A,"{""root"":""akséng"",""processes"":[]}",,,,,akséng,akseng
aksíw,to lift by means of a pole or other instrument,Dictionary A,"{""root"":""aksíw"",""processes"":[]}",,,,,aksíw,aksiw
aksúbi,"accept, admit",Dictionary A,"{""root"":""aksúbi"",""processes"":[]}",,,,,aksúbi,aksubi
alá,get (maN -)‚ take (man -),Dictionary A,"{""root"":""alá"",""processes"":[]}",,,,,alá,ala
alaán,source of something,Dictionary A,"{""root"":""alaán"",""processes"":[]}",,,,,alaán,alaan
aláal,low tide,Dictionary A,"{""root"":""aláal"",""processes"":[]}",,,,,aláal,alaal
alabáb,to drink much wine,Dictionary A,"{""root"":""alabáb"",""processes"":[]}",,,,,alabáb,alabab
alábat,barricade put across lower part of doorway or window to keep children from going out,Dictionary A,"{""root"":""alábat"",""processes"":[]}",,,,,alábat,alabat
onalábat,something to alight on; guide,Dictionary A,"{""root"":""alábat"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating variant)"",""form"":""oN-"",""normalized_form"":""o"",""applied_allomorph"":""n""}]}",,,,,onalábat,onalabat
alagár,to wait (man -),Dictionary A,"{""root"":""alagár"",""processes"":[]}",,,,,alagár,alagar
alagéy,to stand (on -),Dictionary A,"{""root"":""alagéy"",""processes"":[]}",,,,,alagéy,alagey
paalagéy,"to erect (building, etc.) (mañgi -)",Dictionary A,"{""root"":""alagéy"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""causative/instrumental nasal-assimilating"",""form"":""paN-"",""normalized_form"":""pa"",""applied_allomorph"":""""}]}",,,,,paalagéy,paalagey
aláhas,jewels,Dictionary A,"{""root"":""aláhas"",""processes"":[]}",,,,,aláhas,alahas
alainót,to obtain or bring together little by little,Dictionary A,"{""root"":""alaót"",""processes"":[{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":3}]}",,,,,alainót,alainot
álak,liquor,Dictionary A,"{""root"":""álak"",""processes"":[]}",,,,,álak,alak
alakdán,scorpion,Dictionary A,"{""root"":""alakdán"",""processes"":[]}",,,,,alakdán,alakdan
álal,tired,Dictionary A,"{""root"":""álal"",""processes"":[]}",,,,,álal,alal
alamá,small crabs,Dictionary A,"{""root"":""alamá"",""processes"":[]}",,,,,alamá,alama
alámbri,wire,Dictionary A,"{""root"":""alámbri"",""processes"":[]}",,,,,alámbri,alambri
álañgálañg,be doubtful,Dictionary A,"{""root"":""álañg"",""processes"":[{""type"":""reduplication"",""meaning"":""full reduplication (intensifier/frequentative)"",""form"":""full"",""normalized_form"":""full""}]}",,,,,álañgálañg,alangalang
alár,fence; to fence (man -),Dictionary A,"{""root"":""alár"",""processes"":[]}",,,,,alár,alar
alás,at (an hour of the clock),Dictionary A,"{""root"":""alás"",""processes"":[]}",,,,,alás,alas
alásir,"to arrange, put in order",Dictionary A,"{""root"":""alásir"",""processes"":[]}",,,,,alásir,alasir
alpít,large basket used for storing salt,Dictionary A,"{""root"":""alpít"",""processes"":[]}",,,,,alpít,alpit
alawá,stick used for spearing fish or getting fruit from a tree,Dictionary A,"{""root"":""alawá"",""processes"":[]}",,,,,alawá,alawa
áldeg,ardor,Dictionary A,"{""root"":""áldeg"",""processes"":[]}",,,,,áldeg,aldeg
maáldeg,ardent,Dictionary A,"{""root"":""áldeg"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, non-completed)"",""form"":""maN-"",""normalized_form"":""ma"",""applied_allomorph"":""""}]}",,,,,maáldeg,maaldeg
alég,negative exhortation: ‘don’t’,Dictionary A,"{""root"":""alég"",""processes"":[]}",,,,,alég,aleg
Alemánia,Germany,Dictionary A,"{""root"":""Alemánia"",""processes"":[]}",,,,,Alemánia,alemania
álep,to join pieces of wood,Dictionary A,"{""root"":""álep"",""processes"":[]}",,,,,álep,alep
aléplep,dead,Dictionary A,"{""root"":""aléplep"",""processes"":[]}",,,,,aléplep,aleplep
aliádo,alien,Dictionary A,"{""root"":""aliádo"",""processes"":[]}",,,,,aliádo,aliado
álig,to imitate,Dictionary A,"{""root"":""álig"",""processes"":[]}",,,,,álig,alig
aliguás,"to improve, prosper (on -)",Dictionary A,"{""root"":""aliguás"",""processes"":[]}",,,,,aliguás,aliguas
alíkir,escape,Dictionary A,"{""root"":""alíkir"",""processes"":[]}",,,,,alíkir,alikir
alikóteg,"restless, constantly moving",Dictionary A,"{""root"":""alikóteg"",""processes"":[]}",,,,,alikóteg,alikoteg
alíla,servant; to care for (esp. children) (man -),Dictionary A,"{""root"":""alíla"",""processes"":[]}",,,,,alíla,alila
1alíliñg,condition,Dictionary A,"{""root"":""1alíliñg"",""processes"":[]}",,,,,1alíliñg,1aliling
2alíliñg,to be like or comparable (man-),Dictionary A,"{""root"":""2alíliñg"",""processes"":[]}",,,,,2alíliñg,2aliling
alimbáwa,"signify, stand as an example",Dictionary A,"{""root"":""alimbáwa"",""processes"":[]}",,,,,alimbáwa,alimbawa
kaalimbawaán,"example, representation; symbol",Dictionary A,"{""root"":""kaalimbawaán"",""processes"":[]}",,,,,kaalimbawaán,kaalimbawaan
alimbobóyog,bumble bee,Dictionary A,"{""root"":""alimbobóyog"",""processes"":[]}",,,,,alimbobóyog,alimboboyog
alímbos,"extremely, very much",Dictionary A,"{""root"":""alímbos"",""processes"":[]}",,,,,alímbos,alimbos
aliméñg,able,Dictionary A,"{""root"":""aliméñg"",""processes"":[]}",,,,,aliméñg,alimeng
alimógagán,to walk in one’s sleep; be absent minded,Dictionary A,"{""root"":""alimógagán"",""processes"":[]}",,,,,alimógagán,alimogagan
alimoréñg,dizziness; to faint,Dictionary A,"{""root"":""alimoréñg"",""processes"":[]}",,,,,alimoréñg,alimoreng
alindáway,"modern, up to date",Dictionary A,"{""root"":""aldáway"",""processes"":[{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":2}]}",,,,,alindáway,alindaway
maalindáway,modernized,Dictionary A,"{""root"":""aldáway"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, non-completed)"",""form"":""maN-"",""normalized_form"":""ma"",""applied_allomorph"":""""},{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":2}]}",,,,,maalindáway,maalindaway
aliñgerñgér,strong or pervading scent or fragrance,Dictionary A,"{""root"":""aliñgerñgér"",""processes"":[]}",,,,,aliñgerñgér,alingernger
aliñgiáda,"accommodating, hospitable",Dictionary A,"{""root"":""aliñgiá"",""processes"":[{""type"":""suffix"",""meaning"":""3pl genitive enclitic"",""form"":""-da"",""normalized_form"":""da""}]}",,,,,aliñgiáda,alingiada
alipanós,fatigue,Dictionary A,"{""root"":""alipanós"",""processes"":[]}",,,,,alipanós,alipanos
alipógo,to arrange the hair in a roll or bun (but without braiding it),Dictionary A,"{""root"":""alipógo"",""processes"":[]}",,,,,alipógo,alipogo
alipospós,to grapple with an opponent in a fight or game,Dictionary A,"{""root"":""alipospós"",""processes"":[]}",,,,,alipospós,alipospos
alirég,clam; (also) snails found in decaying timber,Dictionary A,"{""root"":""alirég"",""processes"":[]}",,,,,alirég,alireg
alís,"to leave, go away",Dictionary A,"{""root"":""alís"",""processes"":[]}",,,,,alís,alis
paalís,"let leave, drive away",Dictionary A,"{""root"":""alís"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""causative/instrumental nasal-assimilating"",""form"":""paN-"",""normalized_form"":""pa"",""applied_allomorph"":""""}]}",,,,,paalís,paalis
1aliwá,not; become different (on -),Dictionary A,"{""root"":""1aliwá"",""processes"":[]}",,,,,1aliwá,1aliwa
2aliwá,"untoward, improper",Dictionary A,"{""root"":""2aliwá"",""processes"":[]}",,,,,2aliwá,2aliwa
alíwliwá,ugly,Dictionary A,"{""root"":""alíwliwá"",""processes"":[]}",,,,,alíwliwá,aliwliwa
alcáldE,mayor,Dictionary A,"{""root"":""alcáldE"",""processes"":[]}",,,,,alcáldE,alcalde
alkansiá,"piece of bamboo tube, tin can, etc. used as ‘bank’ for storing money",Dictionary A,"{""root"":""alkansiá"",""processes"":[]}",,,,,alkansiá,alkansia
álmirol,starch; to starch (man -),Dictionary A,"{""root"":""álmirol"",""processes"":[]}",,,,,álmirol,almirol
álmo,"to find, encounter, meet (usu. by chance)",Dictionary A,"{""root"":""ál"",""processes"":[{""type"":""suffix"",""meaning"":""2sg genitive enclitic"",""form"":""-mo"",""normalized_form"":""mo""}]}",,,,,álmo,almo
nálmo,found,Dictionary A,"{""root"":""nál"",""processes"":[{""type"":""suffix"",""meaning"":""2sg genitive enclitic"",""form"":""-mo"",""normalized_form"":""mo""}]}",,,,,nálmo,nalmo
almusál,breakfast; to eat breakfast (man -),Dictionary A,"{""root"":""almusál"",""processes"":[]}",,,,,almusál,almusal
álneb,moist,Dictionary A,"{""root"":""álneb"",""processes"":[]}",,,,,álneb,alneb
álo,pestle,Dictionary A,"{""root"":""álo"",""processes"":[]}",,,,,álo,alo
aluár,careful; be careful (man -),Dictionary A,"{""root"":""aluár"",""processes"":[]}",,,,,aluár,aluar
aloboób,hurricane; great anger,Dictionary A,"{""root"":""aloboób"",""processes"":[]}",,,,,aloboób,aloboob
álog,"stream, stream or river bed; acres,lowland field or farm",Dictionary A,"{""root"":""álog"",""processes"":[]}",,,,,álog,alog
kaalogán,wide tract of farmland,Dictionary A,"{""root"":""kaalogán"",""processes"":[]}",,,,,kaalogán,kaalogan
alógpos,"release, escape",Dictionary A,"{""root"":""alógpos"",""processes"":[]}",,,,,alógpos,alogpos
alolóng,a small hut esp. constructed with nipa thatch,Dictionary A,"{""root"":""alolóng"",""processes"":[]}",,,,,alolóng,alolong
álolot,worse; become worse (on -),Dictionary A,"{""root"":""álolot"",""processes"":[]}",,,,,álolot,alolot
alombáyar,worm (general term),Dictionary A,"{""root"":""alombáyar"",""processes"":[]}",,,,,alombáyar,alombayar
alopísing,the temples (of the head),Dictionary A,"{""root"":""alopísg"",""processes"":[{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":6}]}",,,,,alopísing,alopising
alfilÉr,pin,Dictionary A,"{""root"":""alfilÉr"",""processes"":[]}",,,,,alfilÉr,alfiler
alfómbra,"carpet, rug, or other soft covering esp. on floor",Dictionary A,"{""root"":""alfómbra"",""processes"":[]}",,,,,alfómbra,alfombra
álsa,"to put up, draw up, lift (man -)",Dictionary A,"{""root"":""álsa"",""processes"":[]}",,,,,álsa,alsa
altéy,liver,Dictionary A,"{""root"":""altéy"",""processes"":[]}",,,,,altéy,altey
álwas,space between two nodes (e.g. of bamboo),Dictionary A,"{""root"":""álwas"",""processes"":[]}",,,,,álwas,alwas
amá,father,Dictionary A,"{""root"":""á"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, completed)"",""form"":""aN-"",""normalized_form"":""a"",""applied_allomorph"":""m""}]}",,,,,amá,ama
áman,that (= saman ),Dictionary A,"{""root"":""ám"",""processes"":[{""type"":""suffix"",""meaning"":""locative/referent focus (non-completed)"",""form"":""-an"",""normalized_form"":""an""}]}",,,,,áman,aman
ámay,the (= samay ),Dictionary A,"{""root"":""ámay"",""processes"":[]}",,,,,ámay,amay
